Column,Código,Carpeta,Expediente,Tipo documental,Título,Descripción,Autor,Fecha inicial,Fecha final,B/N o Color,Dimensiones,Observaciones,publicable,Número de imágenes,Personajes,img,Column2,Column3,Formato,ruta_doc,doc_existe,ruta_alta,alta_existe,ruta_media,media_existe,archivos_media,ruta_baja,baja_existe,ruta_mini,mini_existe,urls
318,HD_CP01_EXP12_NEG02_FOT04,CP01,EXP12,Negativo,,"Fotografía de las mujeres que estaban en la reunión familiar. De izquierda a derecha, Ana María Díaz, Ana María Salazar, Belarmina Giraldo, Clara Inés Díaz, Gladys Rodríguez y Nelly Díaz.",,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG02/HD_CP01_EXP12_NEG02_FOT04,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG02/HD_CP01_EXP12_NEG02_FOT04/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG02/HD_CP01_EXP12_NEG02_FOT04/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG02/HD_CP01_EXP12_NEG02_FOT04/MEDIA/HD_CP01_EXP12_NEG03_FOT04.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG02/HD_CP01_EXP12_NEG02_FOT04/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG02/HD_CP01_EXP12_NEG02_FOT04/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG03_FOT04.jpg
319,HD_CP01_EXP12_NEG02_FOT05,CP01,EXP12,Negativo,,"Fotografía de las mujeres que estaban en la reunión familiar. De izquierda a derecha, Ana María Díaz, Ana María Salazar, Belarmina Giraldo, Clara Inés Díaz, Gladys Rodríguez y Nelly Díaz.",,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG02/HD_CP01_EXP12_NEG02_FOT05,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG02/HD_CP01_EXP12_NEG02_FOT05/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG02/HD_CP01_EXP12_NEG02_FOT05/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG02/HD_CP01_EXP12_NEG02_FOT05/MEDIA/HD_CP01_EXP12_NEG03_FOT05.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG02/HD_CP01_EXP12_NEG02_FOT05/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG02/HD_CP01_EXP12_NEG02_FOT05/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG03_FOT05.jpg
320,HD_CP01_EXP12_NEG03_FOT01,CP01,EXP12,Negativo,,,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado. Este archivo no se encuentra en la NAS.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG03/HD_CP01_EXP12_NEG03_FOT01,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG03/HD_CP01_EXP12_NEG03_FOT01/ALTA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG03/HD_CP01_EXP12_NEG03_FOT01/MEDIA/,0,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG03/HD_CP01_EXP12_NEG03_FOT01/BAJA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG03/HD_CP01_EXP12_NEG03_FOT01/MINI,0,
321,HD_CP01_EXP12_NEG03_FOT02,CP01,EXP12,Negativo,,,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado. Este archivo no se encuentra en la NAS.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG03/HD_CP01_EXP12_NEG03_FOT02,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG03/HD_CP01_EXP12_NEG03_FOT02/ALTA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG03/HD_CP01_EXP12_NEG03_FOT02/MEDIA/,0,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG03/HD_CP01_EXP12_NEG03_FOT02/BAJA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG03/HD_CP01_EXP12_NEG03_FOT02/MINI,0,
322,HD_CP01_EXP12_NEG04_FOT01,CP01,EXP12,Negativo,,Fotografía de Juan Felipe Díaz con el que parece ser un amigo,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT01,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT01/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT01/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT01/MEDIA/HD_CP01_EXP12_NEG04_FOT01.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT01/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT01/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG04_FOT01.jpg
323,HD_CP01_EXP12_NEG04_FOT02,CP01,EXP12,Negativo,,"Fotografía de Juan Felipe Díaz, el que parece ser un amigo y su mamá, Gladys Rodríguez",,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT02,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT02/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT02/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT02/MEDIA/HD_CP01_EXP12_NEG04_FOT02.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT02/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT02/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG04_FOT02.jpg
324,HD_CP01_EXP12_NEG04_FOT03,CP01,EXP12,Negativo,,"Fotografía de Juan Felipe Díaz, el que parece ser un amigo y su mamá, Gladys Rodríguez",,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT03,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT03/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT03/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT03/MEDIA/HD_CP01_EXP12_NEG04_FOT03.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT03/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT03/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG04_FOT03.jpg
325,HD_CP01_EXP12_NEG04_FOT04,CP01,EXP12,Negativo,,Fotografía de Ana María Salazar y [Juan Ángel],,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT04,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT04/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT04/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT04/MEDIA/HD_CP01_EXP12_NEG04_FOT04.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT04/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT04/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG04_FOT04.jpg
326,HD_CP01_EXP12_NEG04_FOT05,CP01,EXP12,Negativo,,"Fotografía de Ana María Salazar, [Juan Ángel], Ana María Díaz y Belarmina Giraldo",,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT05,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT05/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT05/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT05/MEDIA/HD_CP01_EXP12_NEG04_FOT05.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT05/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT05/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG04_FOT05.jpg
327,HD_CP01_EXP12_NEG04_FOT06,CP01,EXP12,Negativo,,Fotografía de Juan Felipe Díaz con el que parece ser un amigo,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT06,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT06/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT06/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT06/MEDIA/HD_CP01_EXP12_NEG04_FOT06.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT06/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG04/HD_CP01_EXP12_NEG04_FOT06/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG04_FOT06.jpg
328,HD_CP01_EXP12_NEG05_FOT01,CP01,EXP12,Negativo,,,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado. Este archivo no se encuentra en la NAS.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT01,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT01/ALTA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT01/MEDIA/,0,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT01/BAJA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT01/MINI,0,
329,HD_CP01_EXP12_NEG05_FOT02,CP01,EXP12,Negativo,,Fotografía de un florero,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT02,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT02/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT02/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT02/MEDIA/HD_CP01_EXP12_NEG05_FOT02.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT02/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT02/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG05_FOT02.jpg
330,HD_CP01_EXP12_NEG05_FOT03,CP01,EXP12,Negativo,,Fotografía de un florero,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT03,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT03/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT03/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT03/MEDIA/HD_CP01_EXP12_NEG05_FOT03.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT03/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT03/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG05_FOT03.jpg
331,HD_CP01_EXP12_NEG05_FOT04,CP01,EXP12,Negativo,,Fotografía de un florero en una mesa auxiliar,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT04,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT04/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT04/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT04/MEDIA/HD_CP01_EXP12_NEG05_FOT04.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT04/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT04/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG05_FOT04.jpg
332,HD_CP01_EXP12_NEG05_FOT05,CP01,EXP12,Negativo,,Fotografía de un florero en una mesa auxiliar,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT05,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT05/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT05/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT05/MEDIA/HD_CP01_EXP12_NEG05_FOT05.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT05/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG05/HD_CP01_EXP12_NEG05_FOT05/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG05_FOT05.jpg
339,HD_CP01_EXP12_NEG06_FOT06,CP01,EXP12,Negativo,,,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado. Este archivo no se encuentra en la NAS.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG06/HD_CP01_EXP12_NEG06_FOT06,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG06/HD_CP01_EXP12_NEG06_FOT06/ALTA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG06/HD_CP01_EXP12_NEG06_FOT06/MEDIA/,0,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG06/HD_CP01_EXP12_NEG06_FOT06/BAJA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG06/HD_CP01_EXP12_NEG06_FOT06/MINI,0,
340,HD_CP01_EXP12_NEG07_FOT01,CP01,EXP12,Negativo,,,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado. Este archivo no se encuentra en la NAS. ,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT01,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT01/ALTA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT01/MEDIA/,0,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT01/BAJA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT01/MINI,0,
341,HD_CP01_EXP12_NEG07_FOT02,CP01,EXP12,Negativo,,,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado. Este archivo no se encuentra en la NAS.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT02,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT02/ALTA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT02/MEDIA/,0,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT02/BAJA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT02/MINI,0,
342,HD_CP01_EXP12_NEG07_FOT03,CP01,EXP12,Negativo,,,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado. Este archivo no se encuentra en la NAS.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT03,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT03/ALTA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT03/MEDIA/,0,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT03/BAJA,0,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT03/MINI,0,
343,HD_CP01_EXP12_NEG07_FOT04,CP01,EXP12,Negativo,,Fotografía de dos hombres. El de la izquierda está sentado vinndo a la cámara. Mientras el de la derecha se está apoyando en una silla.,,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT04,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT04/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT04/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT04/MEDIA/HD_CP01_EXP12_NEG07_FOT04.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT04/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT04/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG07_FOT04.jpg
344,HD_CP01_EXP12_NEG07_FOT05,CP01,EXP12,Negativo,,"Fotografía de un mezón con un florero y un relog. Se denota que el mueble está ubicado al lado de una escaleras. En la fotografía hay un hombre en las escaleras, asimismo, encima de las flores hay dos cuadros con fotografías, una en blanco y negro y la otra a color. La composición de la fotografía hace que del hombre con el cigarrillo sólo se vea su torzo y  el brazo izquierdo que sostiene el cigarrillo. ",,,,Color,35 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT05,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT05/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT05/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT05/MEDIA/HD_CP01_EXP12_NEG07_FOT05.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT05/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP12/HD_CP01_EXP12_NEG07/HD_CP01_EXP12_NEG07_FOT05/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP12_NEG07_FOT05.jpg
